PRODUCT DESCRIPTION,IMPORTER,IMPORTER ENTITY,SHIPPER,ARRIVAL DATE,TEU,GROSS WEIGHT (LB),GROSS WEIGHT (KG),FOREIGN PORT,US PORT,VESSEL NAME,COUNTRY OF ORIGIN,MARKS & NUMBERS,IMPORTER ADDRESS,SHIPPER ADDRESS,ZIP CODE,NO. OF CONTAINERS,CONTAINER NUMBER,CONTAINER TYPE,QUANTITY,QUANTITY UNIT,MEASUREMENT,MEASUREMENT UNIT,BILL OF LADING,HOUSE VS MASTER,DISTRIBUTION PORT,MASTER B/L,VOYAGE NUMBER,SEAL,SHIPMENT REGISTERED IN,IN-BOND ENTRY TYPE,CARRIER CODE,CARRIER NAME,CARRIER CITY,CARRIER STATE,CARRIER ZIP,CARRIER ADDRESS,NOTIFY PARTY,NOTIFY ADDRESS,PLACE OF RECEIPT
"FROZEN IQF PACIFIC COD LOINS SKINLESS FROZEN IQF PACIFIC COD LOINS SKINLESS, BONELESS FROZEN IQF PACIFIC COD TAILS SKINLESS, BONELESS FROZEN IQF YELLOW FIN SOLE FILLETS SKINON, BONELESS, FROZEN IQF ROCK SOLE FILLETS SKINON, BONELESS FROZEN IQF FLATHEAD SOLE FILLETS SKINON, BONELESS FROZEN IQF FLATHEAD SOLE FILLETS SKINLESS, BONELESS FROZEN IQF ALASKA PLAICE FILLETS SKINLESS, BONELESSWILD CAUGHT PRODUCT OF CHINA SHIPPED ON BOARD THIS SHIPMENT CONTAINS NO WOOD PALLETS OR PACKAGING VENT CLOSED SET BY SHIPPER TEMPERATURE SET AT -23.0 DEGREES C. REEFER CONTAINER",SAMSKIP LOGISTICS INC,SAMSKIP LOGISTICS INC,SAMSKIP LOGISTICS (QINGDAO),2025-03-19,2,53460,24300,Ching Tao,"Boston, Massachusetts",TAMPA TRIUMPH,China,N/M N/M THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME,"999 WATERSIDE DR. SUITE 1305 NORFOLK,VA 23510","CO.,LTD. ROOM 2810,TOWER A,TOP YIHE INTERNATIONAL BUILDING, NO. 10 HONGKONG MIDDLE",23510,1,OTPU6213658,,4400,CTN,45,X,EGLV144400376822,M,,,1197E,EMCTCN0483,PANAMA,,EGLV,EVERGREEN LINE,TAOYUAN HSIEN 338,,,NO 163 SEC 1 HSIN-NAN ROAD LUCHU HSIAN,SAMSKIP LOGISTICS INC,"999 WATERSIDE DR. SUITE 1305 NORFOLK,VA 23510","DALIAN, CHINA"
"PO#4869110191-60; FROZEN ALASKA POLLOCK FILLETS, HS CODE:030481 CERS: UC1087202501174070484 PO# 4869281566-60;FROZEN YELLOWFIN SOLE FILLETS HS CODE:030481 CERS: UC108720250117407048",HUAYANG INT'L TRANSPORTATION,HUAYANG INTERNATIONAL TRANSPORTATIO,BINEX LINE CORP TORONTO,2025-03-19,4,103213,46915,"Vancouver, BC","Portland, Oregon",MSC SINDY,Canada,NO MARKS NO NUMBERS NO MARKS NO NUMBERS,"SERVICES (DALIAN) CO.,LTD ROOM 2903, NO.5 XINGGUANGYAO SQUARE ,56 CHANG JIANG ROAD EAST, ZHONGSHAN DISTRICT, DALIAN, CHINA","1550 COURTNEYPARK DR. E MISSISSAUGA L5T2C7 ONTARIO, CANADA",,2,ZCLU9953585 ZMOU8872155,45R1 45R1,3880,CTN,2825,CF,ZIMUVAN959446,M,,,6W,320144 320000,PANAMA,,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA,,,,HUAYANG INT'L TRANSPORTATION,"SERVICES (DALIAN) CO.,LTD ROOM 2903, NO.5 XINGGUANGYAO SQUARE ,56 CHANG JIANG ROAD EAST, ZHONGSHAN DISTRICT, DALIAN, CHINA",TORONTO (ON)
FROZEN SALMON PRODUCTS THIS SHIPMENT CONTAINS NO SOLID WOOD PACKING MATERIAL. SET TEMP:-21'C VENT:CLOSED / FROZEN ALASKA POLLOCK FILLETS THIS SHIPMENT CONTAINS NO SOLID WOOD PACKING MATERIAL. SET TEMP:-21'C VENT:CLOSED,QUARTZ LOGISTICS (NY) INC.,QUARTZ LOGISTICS INC,SHANGHAI ATLANTIC GATE FORWARDING L,2025-03-18,2,52591,23905,Ching Tao,"Norfolk, Virginia",ZIM MOUNT OLYMPUS,China,N/M SAME SAME N/M SAME SAME,"182-23 150TH AVENUE, 2ND FLOOR SUIT SPRINGFIELD GARDENS NY 11413 UNITED",ROOM 1904-05 INTERNATIONAL CAPITAL SHANGHAI 31 200000 CHINA,11413,1,SZLU9519812,40U0,4489,CTN,52,X,MEDUQT534011,M,,,5E,FX38624382,HONG KONG,,MEDU,MSC MEDITTERRANEAN SHIPPING COMPANY SA,GENEVA,,,,QUARTZ LOGISTICS (NY) INC.,"182-23 150TH AVENUE, 2ND FLOOR SUIT SPRINGFIELD GARDENS NY 11413 UNITED",QINGDAO
"2,304 CTNS OF FOODSTUFFS(DRIED ALASKA POLLAC K)",WANG GLOBALNET (KFS),WANG GLOBALNET,"SAMJIN GLOBALNET CO., LTD",2025-03-18,2,40850,18568,Pusan,"Oakland, California",ONE BLUE JAY,South Korea,N/M,2480 INDUSTRIAL PARKWAY WEST HAYWARD CA 94545 U.S.A. . TE 510-357-1200,"562, SAMSEONG-RO, GANGNAM-GU, SEOUL KOREA . TE 02)3299-0900",94545,1,TCNU1043445,45G0,2304,CTN,0,CM,BNXCKTH202502031,H,,YMJAW360925500,036E,YMAT289045,JAPAN,,BNXC,BINEX LINE CORPORATION,EL SEGUNDO,CA,90245,200 N SEPULVEDA BLVD #1610,WANG GLOBALNET (KFS),2480 INDUSTRIAL PARKWAY WEST HAYWARD CA 94545 U.S.A. .,BUSAN
"FISH OF THE FAMILIES BREGMACEROTIDAE EUCLICH2,304 CTNS OF FOODSTUFFS (DRIED ALASKA POLLACK)",BINEX LINE CORP. -SFO,BINEX LINE CORPORATION,-NOT AVAILABLE-,2025-03-18,2,40852,18569,Pusan,"Oakland, California",ONE BLUE JAY,South Korea,N/M // //,242 LAWRENCE AVE. SOUTH SAN FRANCISCO CA 94080 EMAILBINEXSFOBINEXLINE.COM TE TEL 650-583-9900,-NOT AVAILABLE-,94080,1,TCNU1043445,45G0,2304,CTN,0,CM,YMJAW360925500,M,,,036E,YMAT289045,JAPAN,,YMJA,,,,,,BINEX LINE CORP. -SFO,242 LAWRENCE AVE. SOUTH SAN FRANCISCO CA 94080 EMAILBINEXSFOBINEXLINE.COM,BUSAN KOREA
"ALASKA BRIGHT/STRONG MULTIPLE GSM ALASKA BRIGHT/STRONG MULTIPLE GSM ALASKA BRIGHT/STRONG MULTIPLE GSM PC IN STANDARD TREATMENT LEVEL ALASKA BRIGHT/STRONG MULTIPLE GSM ALASKA BRIGHT/STRONG MULTIPLE GSM ALASKA BRIGHT/STRONG MULTIPLE GSM ALASKA BRIGHT/STRONG MULTIPLE GSM ALASKA BRIGHT/STRONG MULTIPLE GSM 2ND NOTIFY:JOHN A. STEER CO. 2100 CORAL WAY, 501 MIAMI, FLORIDA USA EMAIL: D.PROCACCINO JASTEER.COM FREIGHT PREPAID ALASKA BRIGHT/STRONG MULTIPLE GSM ALASKA BRIGHT/STRONG MULTIPLE GSM ALASKA BRIGHT/STRONG MULTIPLE GSM ALASKA BRIGHT/STRONG MULTIPLE GSM ALASKA BRIGHT/STRONG MULTIPLE GSM ALASKA BRIGHT/STRONG MULTIPLE GSM ALASKA BRIGHT/STRONG MULTIPLE GSM ALASKA BRIGHT/STRONG MULTIPLE GSM ALASKA BRIGHT/STRONG MULTIPLE GSM",MM BOARD PAPER USA INC.,MM BOARD & PAPER USA INC,MM KOTKAMILLS BOARDS OY,2025-03-17,34,1027195,466907,Bremerhaven,"New York/Newark Area, Newark, New Jersey",EVER LIVING,Germany,NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS,5126 SOUTH ROYAL ATLANTA DRIVE GA 30084 TUCKER UNITED STATES,P.O. BOX 62 63 FI-48101 KOTKA FINLAND,30084,17,TCNU3479989 CMAU6251353 SEGU6622818 TCNU4481527 CMAU8696857 CMAU7538097 TCNU3514565 CMAU9244358 CMAU3899358 TCNU2949774 CAIU9242028 CMAU5960626 CMAU3387475 CMAU9592179 GESU6668780 TLLU8114599 TEMU6482040,4500 4500 4500 4500 4500 4500 4500 4500 4500 4500 4500 4500 4500 4500 4500 4500 4500,904,REL,8,CM,CMDUHBG1931167,,,,0LBIW,374030 374031 374047 374021 374050 374029 374045 374035 374026 374022 374025 374028 374048 374044 374033 374027 374020,SINGAPORE,,CMDU,COMPAGNIE MARITIME D-AFFRETEMENT,NORFOLK,VA,23502,5701 LAKE WRIGHT DR,JOHN A. STEER CO.,"2100 CORAL WAY, SUITE 501 MIAMI, FLORIDA USA",KOTKA
"ASSORTED JIGSAWS, VALUE $200.00, MADE IN CHINA, CF 7512, 1 PIECE IN 1 BOX ON 1 PALLET / ALASKA CHILD TRAVEL JOURNALS, VALUE $450.00, MADE IN CHINA, CF 7512, 1 PIECES IN 1 BOX ON 1 PALLET / EMBROIDERY HOOP CRAFT, VALUE $684.00, MADE IN CHINA, CF 7512, 1 PIECES IN 1 BOX ON 1 PALLET / ASSORTED JIGSAWS, VALUE $150.00, MADE IN CHINA, CF 7512, 1 PIECE IN 1 BOX ON 1 PALLET / ALASKA ADULT TRAVEL JOURNALS, VALUE $750.00, MADE IN CHINA, CF 7512, 1 PIECES IN 1 BOX ON 1 PALLET",CARNIVAL LEGEND,CARNIVAL LEGEND,CARNIVAL CRUISE LINE,2025-03-17,0,185,84,High Seas,"Galveston, Texas",CARNIVAL MIRACLE,Unknown,ENTERTAINMENT DEPARTMENT ENTERTAINMENT DEPARTMENT CASINO DEPARTMENT ENTERTAINMENT DEPARTMENT ENTERTAINEMENT DEPARTMENT,N/A N/A,3655 N.W 87TH AVENUE MIAMI FL 33178 US,,1,NC,,5,PCS,0,,CRNV24P031700010,,,,P0317,,PANAMA,62,CRNV,CARNIVAL CRUISE LINES,MIAMI,FL,33178,"3655 NW 87TH AVE, MSOP 302N",-NOT AVAILABLE-,-NOT AVAILABLE-,"GALVESTON, TX"
"SOFA SHIPPER LOAD COUNT AND SEALED 1 X 40HC CONTAINER 63 CARTON(S) SOFA PO12958 THIS SHIPMENT CONTAINS NO WOOD, PACKING MATERIALS. AMS CODE SAIJ AMS NO. SAIJMIAJ314811 MBLHLCUTA12412EYSB0 MIAJ NO. MIAJ314811 FREIGHT PAYABLE AT MIAMI SHIPPER DECLARES CARGO IN TRANSIT TO ANCHORAGE,ALASKA UNDERMERCHANT/CONSIGNEE SOLE RISK, ACCOUNT AND RESPONSIBILITY. CARRIER RESPONSIBILITY/LIABILITY CEASES AT PORT OF DISCHARGE TACOMA, WA. 40HC 63 CTN 4837.38 KG 63.81 M3","KESTREL LINER AGENCIES, LLP",KESTREL LINER AGENCIES LLP,MARINE CONNECTIONS (SHANGHAI) LIMIT,2025-03-16,2,10641,4837,Pusan,"Tacoma, Washington",AIN SNAN EXPRESS,South Korea,N/M . . . . . . . . . . . . . . . . . . .,"9505 NW 108TH AVENUE, MEDLEY, MIAMI, FLORIDA 33178 USA TEL 1-786 220 1650 EMAIL EDALAOKESTREL.COM,","ED QINGDAO BRANCH ROOM 4101 UNIT 1 BUILDING 2 YUEFU M ANSION, NO.6 C SHANDONG ROAD, QINGDAO CHINA",33178,1,ASCU4008702,,63,PCS,0,,HLCUTA12502DGBT3,M,,,508E,HLK1308688,LIBERIA,,HLCU,HAPAG LLOYD A G,HAMBURG,,,399 HOES LN,"KESTREL LINER AGENCIES, LLP","9505 NW 108TH AVENUE, MEDLEY, MIAMI, FLORIDA 33178 USA TEL 1-786 220 1650 EMAIL EDALAOKESTREL.COM,","QINGDAO, CN"
ALASKA BARRIER 200 GSM HS CODE 48119000 ALASKA BARRIER 200 GSM HS CODE 48119000,CLIFFORD PAPER INC,CLIFFORD PAPER INC,MM KOTKAMILLS BOARDS OY,2025-03-15,4,80498,36590,Stade,"New York/Newark Area, Newark, New Jersey",SANTA ROSA,Germany,NO MARKS . NO MARKS .,"2001 ROUTE 46, SUITE 402 UPPER SADDLE RIVER NJ07054 PARSIPPANY, NJ USA",16805400 P.O.BOX 932 00019 SSC FINLAND,,2,HLBU3233037 TCNU8058555,4510 4510,32,PCS,0,,HLCUHAM2501BGSB5,,,,509W,HLD0268911 HLD0268953,DENMARK,,HLCU,HAPAG LLOYD A G,HAMBURG,,,399 HOES LN,JOHN A. STEER CO.,"2100 CORAL WAY, SUITE 501 MIAMI, FLORIDA USA EMAIL D.PROCACCINOJASTEER.COM","KOTKA, FI"
ALASKA WHITE 190 ALASKA WHITE 190 ALASKA WHITE 190 ALASKA WHITE 190 / 215 ALASKA WHITE 190 ALASKA WHITE 190 ALASKA WHITE 190 ALASKA WHITE 190 ALASKA WHITE 190,MM BOARD & PAPER USA INC.,MM BOARD & PAPER USA INC,MM BOARD & PAPER SALES GMBH,2025-03-15,18,405799,184454,Stade,"New York/Newark Area, Newark, New Jersey",SANTA ROSA,Germany,NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS,"5126 SOUTH ROYAL ATLANTA DRIVE TUCKER, GA 30084 USA",BRAHMSPLATZ 6 1040 WIEN OESTERREICH,30084,9,FANU3542228 FSCU8952932 UACU5639440 FDCU0031151 HLXU8633780 FSCU7165737 FANU1452660 HLBU3241454 CAIU8458603,4510 4510 4510 4510 4510 4510 4510 4510 4510,384,PCS,0,,HLCUHAM2501BOUB0,,,,509W,1469044 496430 496479 1033987 H0437511 496468 0890664 1473211 496514,DENMARK,,HLCU,HAPAG LLOYD A G,HAMBURG,,,399 HOES LN,JOHN A. STEER CO.,"2100 CORAL WAY, SUITE 501 MIAMI, FLORIDA USA EMAIL D.PROCACCINOJASTEER.COM","KWIDZYN, PL"
MSC FROZEN ALASKA POLLOCK FILLETS THERAGRA CHALCOGRAMMA,EASTERN FISHERIES INC,EASTERN FISHERIES INCORPORATED,DALIAN GUOFU AQUATIC PRODUCTS,2025-03-14,2,48400,22000,Pusan,"Boston, Massachusetts",EVER FOND,South Korea,N M NO MARKS,214 SAMUEL BARNET BLVDNEW BEDFORD MA 02745 U S A,AND FOOD CO LTD LANDIAN TOWN ZHUAN GHE CITY DALIAN CHINA,02745,1,OERU4297869,45R1,4400,CTN,0,X,OSTIDLBOS2510052,H,,COSU6407175090,1196E,P346090,LIBERIA,,OSTI,ORIENT STAR TRANSPORT INTL LTD,TAIPEI,,,5 FL #61 SEC 3 NANKING EAST RD,A A LTD,700 PLEASANT STREET SUITE 540 NEW B EDFORD MA 02740,DALIAN CHINA
DRIED ALASKA POLLACK IN PACK,WANG GLOBALNET(KFG),WANG GLOBALNET,"SAMJIN GLOBALNET CO.,LTD.",2025-03-14,2,36128,16422,Pusan,"Savannah, Georgia",COSCO SHIPPING CAMELLIA,South Korea,NO MARKS,"2323 BROWN RD BLDG.100 STE C, BUFOR D, GA 30519TEL:678-714-6980 FA X:678-714-6982","562, SAMSEONG-RO, GANGNAM-GU, SEOUL , KOREA .",,1,BMOU5521425,45G0,2301,CTN,0,,JSSYJSBAT2501129,H,,COSU6407412270,026E,25829633,HONG KONG,,JSSY,JOO SUNG SEA & AIR CO LTD,SEOUL,,,RM# 604 SAMSUN BLDG NAMCHANG-DONG CHUNG-KU,JSL LOGISTICS INC,12750 CENTER COURT DRIVE SUITE 170 CERRITOS CA 90703 .,"BUSAN, KOREA"
"DRIED ALASKA POLLACK 2,504 CTNS OF FOODSTUFFS (DRIED ALASKA POLLACK) T/T ACCORDING TO SHIPPER'S STATEMENT NO SOLID WOOD PACKING MATERIALS",WANG GLOBALNET(KFN),WANG GLOBALNET,"SAMJIN GLOBALNET CO.,LTD",2025-03-14,2,47375,21534,Pusan,"New York/Newark Area, Newark, New Jersey",COSCO SHIPPING LOTUS,South Korea,N/M N/M . . . THE SAME,"25 KNICKERBOCKER ROAD MOONACHIE, NJ 07074 REGISTERED NO. 11436330598 TEL :201-896-5252","562, SAMSEONG-RO, GANGNAM-GU, SEOUL, KOREA REGISTERED NO.19816861694 TEL:02)3299-0900 9",07074,1,GAOU6991335,45G0,2504,CTN,64,X,EGLV040500037779,,,,027E,EMCTHA2153,HONG KONG,,EGLV,EVERGREEN LINE,TAOYUAN HSIEN 338,,,NO 163 SEC 1 HSIN-NAN ROAD LUCHU HSIAN,WANG GLOBALNET(KFN),"25 KNICKERBOCKER ROAD MOONACHIE, NJ 07074 REGISTERED NO. 11436330598 TEL :201-896-5252",PUSAN
"FROZEN ALASKA POLLACK (GUT OFF,SLICE,WITHOUT",TRANS GATE INTERNATIONAL LLC,TRANS GATE INTERNATIONAL LLC,"GREAT DRAGON LOGISTICS, LTD.",2025-03-14,2,33101,15046,Pusan,"New York/Newark Area, Newark, New Jersey",COSCO SHIPPING LOTUS,South Korea,N/M . . . . . . . . . . . . . . . . . . . . . . . . . . . .,15 HENRY AVE. PALISADES PARK NJ UNITED STATES TE 2447190,"8TH FLOOR, 96, JUNGANG-DAERO BUSAN . SOUTH KOREA TE 4657388 4657388",,1,OOLU6463709,45R1,1400,BOX,0,CM,OOLU2754822110,M,,,027E,OOLHEM6526,HONG KONG,,OOLU,ORIENT OVERSEAS CONTAINER LINE LTD,,,,4141 HACIENDA DR,TRANS GATE INTERNATIONAL LLC,15 HENRY AVE. PALISADES PARK NJ UNITED STATES,BUSAN
"FROZEN ALASKA POLLACK (GUT OFF,SLICE,WITHOUT",GRAND BK,GRAND BK CORP,"OCEANFRIEND CO., LTD",2025-03-14,2,33101,15046,Pusan,"New York/Newark Area, Newark, New Jersey",COSCO SHIPPING LOTUS,South Korea,N/M . . . . . . . . . . . . . . . . . . . . . . . . . . . .,"333 STARKE RD CARLSTADT, NJ 07072 CARLSTADT, BERGEN, NEW JERSEY, UNIT ED STATES 201-636-8000 TELEX:201-63","907, 19, SEOUN-RO, SEOCHO-GU, SEOU L, 06732, REP. OF KOREA SEOUL, SOUT H KOREA 82-2-523-2117 TELEX:82-2-52",07072,1,OOLU6463709,45R1,1400,BOX,0,CM,OOLU275482211001,H,,OOLU2754822110,027E,OOLHEM6526,HONG KONG,,OOLU,ORIENT OVERSEAS CONTAINER LINE LTD,,,,4141 HACIENDA DR,K GREEN,"17326 EDWARDS RD. A240, CERRITOS, LOS ANGELES, CALIFORNIA, UNITED ST ATES 562-426-0031 TELEX: 90703",BUSAN
DRIED ALASKA POLLACK IN PACK,JSL LOGISTICS INCORPORATED,JSL LOGISTICS INC,JOO SUNG SEA & AIR COMPANY LIMITED,2025-03-14,2,36128,16422,Pusan,"Savannah, Georgia",COSCO SHIPPING CAMELLIA,South Korea,NO MARKS,SUITE 528 1 BRIDGE PLAZA NORTH FORT LEE NJ 07024 UNITED STATES TE 9229117,"JOOSUNG B/D PILDONG-2GA 10, TOEGYE- SEOUL SEOUL SOUTH KOREA TE 7563983 7563983",07024,1,BMOU5521425,45G0,2301,CTN,66,CM,COSU6407412270,M,,,026E,25829633,HONG KONG,61,COSU,CHINA OCEAN SHIPPING COMPANY,SECAUCUS,NJ,07094,100 LIGHTING WAY,JSL LOGISTICS INCORPORATED,SUITE 528 1 BRIDGE PLAZA NORTH FORT LEE NJ 07024 UNITED STATES,BUSAN
"FOOD STUFF RICE, DRIED LEAF TEA CLAY JUG, CASSAVA POWDER MILK ALASKA. TI MALICE BUTTER, SYRUP BRONCHOFLEX, SYRUP HEPTOPEP, PESTLE, DEODORANT, BROOM PALM OIL, CREAM SODA RED SODA, RAGAMAN, PEANUT GRAIN, GRAIN CORN MEAL, DYAKOUT BAG SUBSTITUTE EQUIPMENT SUB (45X40)",CHRYSTELA GEORGE LLC,CHRYSTELA GEORGE LLC,CANHAIDOM TRADING,2025-03-13,1.75,96250,43750,Port au Prince,"Miami, Florida",BELEN,Haiti,SUBSTITUTE EQUIPMENT NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS,645 NW 72 STREET MIAMI FL 33150,"C/O BEAUDYNE LOGISTICS 15 AVE MARTIN, LUTHER KING, NAZON PORT AU PRINCE HT",33150,1,AMLU4552373,,998,PCS,0,CF,AMLU3010018439,,,,125N,ANT128403 NA,ROMANIA,,AMLU,ANTILLEAN MARINE SHIPPING CORP,MIAMI,FL,33142,3038 NW NORTH RIVER DRIVE,GUY LICHTENSTEIN CHB,"2550 N.W. 72 Ave, NO. 100",PORT-AU-PRINCE
DRIED ALASKA POLLACK,WANG GLOBALNET DBA HANMI INC.,WANG GLOBALNET,SAMJIN GLOBALNET CO. LTD,2025-03-12,2,33449,15204,Pusan,"Seattle, Washington",APL CHARLESTON,South Korea,NO MARKS,. 8040 S. 192ND KENT WA 98032 REGISTE RED NO.10549312942 TEL 206-575-1055 TE FAX 206-575-2662,. 562 SAMSEONG-RO GANGNAM-GU SEOUL KOREA REGISTERED NO.19816861694 T TE EL 02 3299-0900-9 FAX 02 961-5110 9,98032,1,OOCU8432676,4FG0,1911,PKG,0,,RLCLRSSEA2502012,H,,COSU6409285160,0TNEZ,24133620,"KOREA, REPUBLIC OF",,RLCL,RAMSES LOGISTICS CO LTD,KU SEOUL,,,BUMHWA BLDG 6F 70-1 BUKCHANG DONG CHUNG-,DK EXPRESS INC.,. 500 W. 190TH ST. SUITE 200 GARDENA CA 90248.,BUSAN KOREA
DRIED ALASKA POLLACK,"OCEAN BLUE EXPRESS, INC.",OCEAN BLUE EXPRESS INC,RAMSES LOGISTICS COMPANY LIMITED,2025-03-12,2,33449,15204,Pusan,"Seattle, Washington",APL CHARLESTON,South Korea,NO MARKS,255 WEST VICTORIA STREET COMPTON CA 90220 UNITED STATES TE 7192500,"ROOM 505, 5TH FLOOR, A-DONG, GANGSE SEOUL SEOUL 157-801 SOUTH KOREA TE 79503677 7791401",90220,1,OOCU8432676,4FG0,1911,CTN,65,CM,COSU6409285160,M,,,0TNEZ,24133620,SINGAPORE,,COSU,CHINA OCEAN SHIPPING COMPANY,SECAUCUS,NJ,07094,100 LIGHTING WAY,"OCEAN BLUE EXPRESS, INC.",255 WEST VICTORIA STREET COMPTON CA 90220 UNITED STATES,BUSAN
DRIED ALASKA POLLACK DRIED ALASKA POLLACK HS CODE 0305.53 NAC HEE CHANG TRADING REEFER CONTAINER,JSL LOGISTICS INC,JSL LOGISTICS INC,B&P JOOSUNG CORP.,2025-03-12,2,31790,14450,Pusan,"Long Beach, California",COSCO SHIPPING ALPS,South Korea,N/M N/M . THE SAME THE SAME,12750 CENTER COURT DRIVE SUITE 170 CERRITOS CA 90703 TEL: 562-922-9117 EMAIL:AN@JSL-LOGISTICS.COM,"JOOSUNG B/D, PILDONG-2GA 10, TOEGYE-RO 36GA-GIL, JUNG-GU, SEOUL, KOREA",90703,1,EMCU5747207,45R1,1705,CTN,54,X,EGLV040500036977,M,,,042E,EMCJMY4674,HONG KONG,,EGLV,EVERGREEN LINE,TAOYUAN HSIEN 338,,,NO 163 SEC 1 HSIN-NAN ROAD LUCHU HSIAN,JSL LOGISTICS INC,12750 CENTER COURT DRIVE SUITE 170 CERRITOS CA 90703 TEL: 562-922-9117 EMAIL:AN@JSL-LOGISTICS.COM,PUSAN
DRIED ALASKA POLLACK,PAN ASIA FOOD CO. LTD.,PAN ASIA FOOD CO LTD,SAMJIN GLOBALNET CO. LTD,2025-03-12,2,50059,22754,Pusan,"Seattle, Washington",APL CHARLESTON,South Korea,NO MARKS,. 435 AMBASSADOR DRIVE. MISSISSAUGAON TARIO L5T 2J3 TEL 905-696-7711 FAX TE 905-696-7611,. 562 SAMSEONG-RO GANGNAM-GU SEOUL KOREA REGISTERED NO.19816861694 T TE EL 02 3299-0900-9 FAX 02 961-5110 9,,1,TCLU1595386,4FG0,2555,PKG,0,,RLCLRSVAN2502015,H,,COSU6409739460,0TNEZ,25839700 NO SEAL,"KOREA, REPUBLIC OF",,RLCL,RAMSES LOGISTICS CO LTD,KU SEOUL,,,BUMHWA BLDG 6F 70-1 BUKCHANG DONG CHUNG-,REDFROG ENTERPRISES LTD,. 203 11945 95A AVE. DELTA V4C 3W1T EL 604-587-9907 FAX 866-246-5657,BUSAN KOREA
DRIED ALASKA POLLACK,OTA LOGISTICS CANADA INCORPORATED,THE YES LOGISTICS CORP,RAMSES LOGISTICS COMPANY LIMITED,2025-03-12,2,50059,22754,Pusan,"Seattle, Washington",APL CHARLESTON,South Korea,NO MARKS,UNIT 1 9494 198 STREET LANGLEY BC V1M 3C8 CANADA TE 5742579,"ROOM 505, 5TH FLOOR, A-DONG, GANGSE SEOUL SEOUL 157-801 SOUTH KOREA TE 79503677 7791401",,1,TCLU1595386,4FG0,2555,CTN,66,CM,COSU6409739460,M,,,0TNEZ,25839700 NO SEAL,SINGAPORE,,COSU,CHINA OCEAN SHIPPING COMPANY,SECAUCUS,NJ,07094,100 LIGHTING WAY,OTA LOGISTICS CANADA INCORPORATED,UNIT 1 9494 198 STREET LANGLEY BC V1M 3C8 CANADA,BUSAN
FROZEN ALASKA POLLOCK FILLETS VENT:CLOSED SET TEMP:-21'C THIS SHIPMENT CONTAINS NO SOLID WOOD PACKING MATERIAL.,FULLAND LOGISTICS LTD.,FULLAND LOGISTICS LTD,"PANWIN INT'L LOGISTICS CO., LTD.",2025-03-11,2,65036,29562,Port Bustamante,"Miami, Florida",BOX ENDURANCE,Jamaica,N/M,"345 MILLWAY AVE, UNIT 202,CONCORD, ON L4K 4T3, CANADA TEL:416-623-7108 EMAIL:HANDLING@FULLANDCANADA.COM","NO. 52 XIANGGANGZHONG ROAD, QINGDAO CHINA",,1,ZMOU8843500,45R1,1850,CTN,1589,CF,ZIMUQIN7050569,M,,,54S,A4240137806,LIBERIA,,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA,,,,FULLAND LOGISTICS LTD.,"345 MILLWAY AVE, UNIT 202,CONCORD, ON L4K 4T3, CANADA TEL:416-623-7108 EMAIL:HANDLING@FULLANDCANADA.COM",QINGDAO (SD)
FROZEN ALASKA POLLOCK FILLETS VENT:CLOSED SET TEMP:-21'C THIS SHIPMENT CONTAINS NO SOLID WOOD PACKING MATERIAL.,FULLAND LOGISTICS LTD.,FULLAND LOGISTICS LTD,"PANWIN INT'L LOGISTICS CO., LTD.",2025-03-11,2,61508,27958,Port Bustamante,"Miami, Florida",BOX ENDURANCE,Jamaica,N/M,"345 MILLWAY AVE, UNIT 202,CONCORD, ON L4K 4T3, CANADA TEL:416-623-7108 EMAIL:HANDLING@FULLANDCANADA.COM","NO. 52 XIANGGANGZHONG ROAD, QINGDAO CHINA",,1,ZMOU8959804,45R1,1850,CTN,1413,CF,ZIMUQIN7050571,M,,,54S,A4240419969,LIBERIA,,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA,,,,FULLAND LOGISTICS LTD.,"345 MILLWAY AVE, UNIT 202,CONCORD, ON L4K 4T3, CANADA TEL:416-623-7108 EMAIL:HANDLING@FULLANDCANADA.COM",QINGDAO (SD)
